crr_Nom;psu_Nem;psu_Leng;psu_Mate;psu_Cie;psu_Pond;Longitud;Latitud;cred_apr;distancia;F;M;PARTICULAR_SUBVENCIONADO;PARTICULAR_PAGADO;MUNICIPAL;cluster
INGENIERIA CIVIL QUIMICA;805;667;673;687;707;-73,0464155;-36,829532;28;0,913203;0;1;0;1;0;1
INGENIERIA CIVIL INDUSTRIAL;682;686;748;616;702;-73,0464155;-36,829532;28;0,913203;1;0;0;1;0;2
INGENIERIA CIVIL INDUSTRIAL;723;696;671;692;691;-73,0464155;-36,829532;28;0,913203;0;1;0;1;0;2
INGENIERIA CIVIL BIOMEDICA;818;565;648;663;713;-73,0464155;-36,829532;27;0,913203;1;0;0;1;0;1
INGENIERÍA CIVIL DE MINAS;661;670;702;717;690;-73,0464155;-36,829532;27;0,913203;1;0;0;1;0;1
INGENIERIA CIVIL QUIMICA;599;626;752;663;682;-73,0464155;-36,829532;27;0,913203;0;1;0;1;0;2
INGENIERIA CIVIL;719;582;675;629;679;-73,0464155;-36,829532;27;0,913203;0;1;0;1;0;2
INGENIERIA CIVIL - PLAN COMUN;641;573;667;655;645;-73,0464155;-36,829532;27;0,913203;0;1;0;1;0;3
INGENIERIA CIVIL BIOMEDICA;517;623;641;674;612;-73,0464155;-36,829532;27;0,913203;0;1;0;1;0;2
INGENIERIA CIVIL INDUSTRIAL;641;670;748;645;694;-73,0464155;-36,829532;27;0,913203;0;1;0;1;0;2
INGENIERIA CIVIL ELECTRONICA;620;579;667;507;618;-73,0464155;-36,829532;27;0,913203;0;1;0;1;0;3
INGENIERIA CIVIL AEROESPACIAL;785;674;694;696;714;-73,0464155;-36,829532;26;0,913203;0;1;0;1;0;1
INGENIERIA CIVIL INFORMATICA;620;660;682;572;647;-73,0464155;-36,829532;25;0,913203;0;1;0;1;0;2
INGENIERIA CIVIL ELECTRONICA;637;571;682;666;646;-73,0464155;-36,829532;24;0,913203;0;1;0;1;0;2
INGENIERIA CIVIL ELECTRONICA;702;768;688;652;698;-73,0464155;-36,829532;24;0,913203;0;1;0;1;0;1
INGENIERIA CIVIL MECANICA;641;655;696;617;664;-73,0464155;-36,829532;21;0,913203;0;1;0;1;0;2
INGENIERIA CIVIL ELECTRONICA;610;624;707;615;647;-73,0464155;-36,829532;21;0,913203;0;1;0;1;0;2
INGENIERIA CIVIL MECANICA;579;587;737;614;657;-73,0464155;-36,829532;21;0,913203;0;1;0;1;0;2
INGENIERIA CIVIL METALURGICA;620;613;695;605;650;-73,0464155;-36,829532;19;0,913203;0;1;0;1;0;3
INGENIERIA CIVIL EN TELECOMUNICACIONES;616;576;627;591;611;-73,0464155;-36,829532;18;0,913203;1;0;0;1;0;2
INGENIERIA CIVIL INFORMATICA;657;571;706;730;670;-73,0464155;-36,829532;18;0,913203;0;1;0;1;0;2
INGENIERIA CIVIL MECANICA;641;661;644;516;627;-73,0464155;-36,829532;18;0,913203;0;1;0;1;0;2
INGENIERIA CIVIL;723;626;735;677;707;-73,0464155;-36,829532;16;0,913203;1;0;0;1;0;2
INGENIERIA CIVIL INFORMATICA;686;560;701;650;672;-73,0464155;-36,829532;15;0,913203;1;0;0;1;0;2
INGENIERIA CIVIL - PLAN COMUN;702;646;674;660;675;-73,0464155;-36,829532;9;0,913203;1;0;0;1;0;2
INGENIERIA CIVIL ELECTRONICA;744;641;728;591;698;-73,0464155;-36,829532;9;0,913203;0;1;0;1;0;2
INGENIERIA CIVIL QUIMICA;785;628;650;592;672;-73,0464155;-36,829532;9;0,913203;0;1;0;1;0;2
INGENIERIA CIVIL BIOMEDICA;744;658;650;553;660;-73,0464155;-36,829532;9;0,913203;1;0;0;1;0;2
